Force (N),Flex Raw ADC 1,Flex Voltage 1(V),Flex Resistance 1(Ohms),Flex Raw ADC 2,Flex Voltage 2(V),Flex Resistance 2(Ohms),Flex Raw ADC 3,Flex Voltage 3(V),Flex Resistance 3(Ohms),Load Cell Voltage (V),Load Cell Raw ADC,Location
0.058,16.0,0.078,3524500.0,61.0,0.298,883147.5,418.0,2.043,81052.632,0.073,15.0,"(1,4)"
0.053,18.0,0.088,3126666.75,63.0,0.308,853333.312,423.0,2.067,79432.632,0.068,14.0,"(1,4)"
0.049,11.0,0.054,5152000.0,63.0,0.308,853333.312,417.0,2.038,81381.304,0.064,13.0,"(1,4)"
0.058,42.0,0.205,1308000.0,57.0,0.279,949052.625,447.0,2.185,72161.062,0.073,15.0,"(1,4)"
0.058,20.0,0.098,2808400.0,136.0,0.665,365235.281,423.0,2.067,79432.632,0.073,15.0,"(1,4)"
0.063,19.0,0.093,2959158.0,66.0,0.323,812000.0,405.0,1.979,85451.851,0.078,16.0,"(1,4)"
0.058,23.0,0.112,2434782.75,63.0,0.308,853333.312,414.0,2.023,82376.812,0.073,15.0,"(1,4)"
0.058,21.0,0.103,2672000.0,65.0,0.318,825353.812,418.0,2.043,81052.632,0.073,15.0,"(1,4)"
0.058,20.0,0.098,2808400.0,61.0,0.298,883147.5,411.0,2.009,83386.859,0.073,15.0,"(1,4)"
0.063,17.0,0.083,3313882.25,48.0,0.235,1137500.0,421.0,2.058,80076.007,0.078,16.0,"(1,4)"
0.049,15.0,0.073,3763200.25,56.0,0.274,967000.0,421.0,2.058,80076.007,0.064,13.0,"(1,4)"
0.058,0.0,0.0,0.0,80.0,0.391,660100.0,422.0,2.063,79753.562,0.073,15.0,"(1,4)"
0.058,17.0,0.083,3313882.25,60.0,0.293,898800.062,422.0,2.063,79753.562,0.073,15.0,"(1,4)"
0.058,17.0,0.083,3313882.25,66.0,0.323,812000.0,417.0,2.038,81381.304,0.073,15.0,"(1,4)"
0.063,21.0,0.103,2672000.0,64.0,0.313,839125.0,420.0,2.053,80400.0,0.078,16.0,"(1,4)"
0.063,0.0,0.0,0.0,56.0,0.274,967000.0,436.0,2.131,75394.492,0.078,16.0,"(1,4)"
0.058,27.0,0.132,2065777.75,62.0,0.303,868000.0,400.0,1.955,87219.992,0.073,15.0,"(1,4)"
0.058,32.0,0.156,1734250.0,71.0,0.347,750873.25,417.0,2.038,81381.304,0.073,15.0,"(1,4)"
0.058,15.0,0.073,3763200.25,70.0,0.342,762400.0,417.0,2.038,81381.304,0.073,15.0,"(1,4)"
0.058,25.0,0.122,2235520.0,66.0,0.323,812000.0,413.0,2.019,82711.867,0.073,15.0,"(1,4)"
0.053,19.0,0.093,2959158.0,65.0,0.318,825353.812,414.0,2.023,82376.812,0.068,14.0,"(1,4)"
0.063,36.0,0.176,1535333.375,65.0,0.318,825353.812,410.0,2.004,83726.828,0.078,16.0,"(1,4)"
0.058,4.0,0.02,14266000.0,59.0,0.288,914983.062,405.0,1.979,85451.851,0.073,15.0,"(1,4)"
0.063,23.0,0.112,2434782.75,54.0,0.264,1004888.875,430.0,2.102,77227.906,0.078,16.0,"(1,4)"
0.058,19.0,0.093,2959158.0,65.0,0.318,825353.812,430.0,2.102,77227.906,0.073,15.0,"(1,4)"
0.058,16.0,0.078,3524500.0,66.0,0.323,812000.0,418.0,2.043,81052.632,0.073,15.0,"(1,4)"
0.063,21.0,0.103,2672000.0,74.0,0.362,718162.125,421.0,2.058,80076.007,0.078,16.0,"(1,4)"
0.058,19.0,0.093,2959158.0,67.0,0.327,799044.812,413.0,2.019,82711.867,0.073,15.0,"(1,4)"
0.063,25.0,0.122,2235520.0,65.0,0.318,825353.812,420.0,2.053,80400.0,0.078,16.0,"(1,4)"
0.063,18.0,0.088,3126666.75,72.0,0.352,739666.687,397.0,1.94,88302.257,0.078,16.0,"(1,4)"
0.063,20.0,0.098,2808400.0,15.0,0.073,3763200.25,428.0,2.092,77850.476,0.078,16.0,"(1,4)"
0.058,21.0,0.103,2672000.0,66.0,0.323,812000.0,423.0,2.067,79432.632,0.073,15.0,"(1,4)"
0.058,19.0,0.093,2959158.0,68.0,0.332,786470.562,418.0,2.043,81052.632,0.073,15.0,"(1,4)"
0.058,22.0,0.108,2548000.0,73.0,0.357,728767.187,418.0,2.043,81052.632,0.073,15.0,"(1,4)"
0.063,21.0,0.103,2672000.0,68.0,0.332,786470.562,418.0,2.043,81052.632,0.078,16.0,"(1,4)"
0.058,24.0,0.117,2331000.0,67.0,0.327,799044.812,416.0,2.033,81711.539,0.073,15.0,"(1,4)"
0.058,25.0,0.122,2235520.0,65.0,0.318,825353.812,412.0,2.014,83048.546,0.073,15.0,"(1,4)"
0.063,23.0,0.112,2434782.75,66.0,0.323,812000.0,396.0,1.935,88666.671,0.078,16.0,"(1,4)"
0.053,20.0,0.098,2808400.0,71.0,0.347,750873.25,408.0,1.994,84411.757,0.068,14.0,"(1,4)"
0.058,5.0,0.024,11401600.0,68.0,0.332,786470.562,408.0,1.994,84411.757,0.073,15.0,"(1,4)"
0.058,19.0,0.093,2959158.0,65.0,0.318,825353.812,423.0,2.067,79432.632,0.073,15.0,"(1,4)"
0.053,22.0,0.108,2548000.0,64.0,0.313,839125.0,427.0,2.087,78163.937,0.068,14.0,"(1,4)"
0.058,20.0,0.098,2808400.0,64.0,0.313,839125.0,420.0,2.053,80400.0,0.073,15.0,"(1,4)"
0.058,17.0,0.083,3313882.25,67.0,0.327,799044.812,418.0,2.043,81052.632,0.073,15.0,"(1,4)"
0.058,27.0,0.132,2065777.75,84.0,0.411,626000.0,432.0,2.111,76611.109,0.073,15.0,"(1,4)"
0.078,20.0,0.098,2808400.0,74.0,0.362,718162.125,424.0,2.072,79113.21,0.093,19.0,"(1,4)"
0.058,34.0,0.166,1628941.125,66.0,0.323,812000.0,417.0,2.038,81381.304,0.073,15.0,"(1,4)"
0.063,21.0,0.103,2672000.0,66.0,0.323,812000.0,412.0,2.014,83048.546,0.078,16.0,"(1,4)"
0.058,22.0,0.108,2548000.0,65.0,0.318,825353.812,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.063,18.0,0.088,3126666.75,62.0,0.303,868000.0,422.0,2.063,79753.562,0.078,16.0,"(1,4)"
0.058,18.0,0.088,3126666.75,66.0,0.323,812000.0,420.0,2.053,80400.0,0.073,15.0,"(1,4)"
0.058,20.0,0.098,2808400.0,57.0,0.279,949052.625,420.0,2.053,80400.0,0.073,15.0,"(1,4)"
0.063,16.0,0.078,3524500.0,64.0,0.313,839125.0,429.0,2.097,77538.46,0.078,16.0,"(1,4)"
0.058,13.0,0.064,4350769.0,83.0,0.406,634216.875,417.0,2.038,81381.304,0.073,15.0,"(1,4)"
0.053,61.0,0.298,883147.5,64.0,0.313,839125.0,408.0,1.994,84411.757,0.068,14.0,"(1,4)"
0.063,2.0,0.01,0.0,55.0,0.269,985599.937,406.0,1.984,85103.445,0.078,16.0,"(1,4)"
0.063,17.0,0.083,3313882.25,86.0,0.42,610139.562,419.0,2.048,80725.546,0.078,16.0,"(1,4)"
0.063,21.0,0.103,2672000.0,68.0,0.332,786470.562,433.0,2.116,76304.859,0.078,16.0,"(1,4)"
0.063,19.0,0.093,2959158.0,62.0,0.303,868000.0,422.0,2.063,79753.562,0.078,16.0,"(1,4)"
0.053,21.0,0.103,2672000.0,68.0,0.332,786470.562,404.0,1.975,85801.976,0.068,14.0,"(1,4)"
0.073,2.0,0.01,0.0,68.0,0.332,786470.562,424.0,2.072,79113.21,0.088,18.0,"(1,4)"
0.063,27.0,0.132,2065777.75,66.0,0.323,812000.0,417.0,2.038,81381.304,0.078,16.0,"(1,4)"
0.058,21.0,0.103,2672000.0,68.0,0.332,786470.562,419.0,2.048,80725.546,0.073,15.0,"(1,4)"
0.063,20.0,0.098,2808400.0,70.0,0.342,762400.0,421.0,2.058,80076.007,0.078,16.0,"(1,4)"
0.063,39.0,0.191,1412923.125,65.0,0.318,825353.812,419.0,2.048,80725.546,0.078,16.0,"(1,4)"
0.058,22.0,0.108,2548000.0,68.0,0.332,786470.562,423.0,2.067,79432.632,0.073,15.0,"(1,4)"
0.053,8.0,0.039,7105000.0,68.0,0.332,786470.562,492.0,2.405,60439.019,0.068,14.0,"(1,4)"
0.068,26.0,0.127,2147384.5,70.0,0.342,762400.0,420.0,2.053,80400.0,0.083,17.0,"(1,4)"
0.053,23.0,0.112,2434782.75,72.0,0.352,739666.687,377.0,1.843,95957.562,0.068,14.0,"(1,4)"
0.058,12.0,0.059,4718000.0,69.0,0.337,774260.875,418.0,2.043,81052.632,0.073,15.0,"(1,4)"
0.063,23.0,0.112,2434782.75,69.0,0.337,774260.875,418.0,2.043,81052.632,0.078,16.0,"(1,4)"
0.058,20.0,0.098,2808400.0,71.0,0.347,750873.25,424.0,2.072,79113.21,0.073,15.0,"(1,4)"
0.058,10.0,0.049,5672800.0,69.0,0.337,774260.875,423.0,2.067,79432.632,0.073,15.0,"(1,4)"
0.058,23.0,0.112,2434782.75,68.0,0.332,786470.562,424.0,2.072,79113.21,0.073,15.0,"(1,4)"
0.063,21.0,0.103,2672000.0,69.0,0.337,774260.875,420.0,2.053,80400.0,0.078,16.0,"(1,4)"
0.058,17.0,0.083,3313882.25,80.0,0.391,660100.0,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.058,152.0,0.743,320894.75,70.0,0.342,762400.0,408.0,1.994,84411.757,0.073,15.0,"(1,4)"
0.058,22.0,0.108,2548000.0,58.0,0.283,931724.187,437.0,2.136,75093.812,0.073,15.0,"(1,4)"
0.063,12.0,0.059,4718000.0,70.0,0.342,762400.0,417.0,2.038,81381.304,0.078,16.0,"(1,4)"
0.063,22.0,0.108,2548000.0,70.0,0.342,762400.0,424.0,2.072,79113.21,0.078,16.0,"(1,4)"
0.058,20.0,0.098,2808400.0,70.0,0.342,762400.0,420.0,2.053,80400.0,0.073,15.0,"(1,4)"
0.058,21.0,0.103,2672000.0,72.0,0.352,739666.687,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.058,27.0,0.132,2065777.75,70.0,0.342,762400.0,420.0,2.053,80400.0,0.073,15.0,"(1,4)"
0.063,23.0,0.112,2434782.75,72.0,0.352,739666.687,423.0,2.067,79432.632,0.078,16.0,"(1,4)"
0.058,3.0,0.015,19040000.0,74.0,0.362,718162.125,448.0,2.19,71875.0,0.073,15.0,"(1,4)"
0.063,0.0,0.0,0.0,82.0,0.401,642634.125,425.0,2.077,78795.304,0.078,16.0,"(1,4)"
0.058,30.0,0.147,1853600.125,69.0,0.337,774260.875,423.0,2.067,79432.632,0.073,15.0,"(1,4)"
0.058,23.0,0.112,2434782.75,71.0,0.347,750873.25,422.0,2.063,79753.562,0.073,15.0,"(1,4)"
0.053,18.0,0.088,3126666.75,72.0,0.352,739666.687,427.0,2.087,78163.937,0.068,14.0,"(1,4)"
0.063,23.0,0.112,2434782.75,72.0,0.352,739666.687,453.0,2.214,70463.578,0.078,16.0,"(1,4)"
0.053,22.0,0.108,2548000.0,40.0,0.196,1376200.0,425.0,2.077,78795.304,0.068,14.0,"(1,4)"
0.063,21.0,0.103,2672000.0,50.0,0.244,1089760.0,423.0,2.067,79432.632,0.078,16.0,"(1,4)"
0.058,20.0,0.098,2808400.0,72.0,0.352,739666.687,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.058,21.0,0.103,2672000.0,74.0,0.362,718162.125,420.0,2.053,80400.0,0.073,15.0,"(1,4)"
0.063,29.0,0.142,1919448.375,70.0,0.342,762400.0,424.0,2.072,79113.21,0.078,16.0,"(1,4)"
0.063,22.0,0.108,2548000.0,71.0,0.347,750873.25,422.0,2.063,79753.562,0.078,16.0,"(1,4)"
0.063,4.0,0.02,14266000.0,58.0,0.283,931724.187,418.0,2.043,81052.632,0.078,16.0,"(1,4)"
0.063,0.0,0.0,0.0,75.0,0.367,707839.937,429.0,2.097,77538.46,0.078,16.0,"(1,4)"
0.058,35.0,0.171,1580800.0,68.0,0.332,786470.562,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.058,23.0,0.112,2434782.75,71.0,0.347,750873.25,425.0,2.077,78795.304,0.073,15.0,"(1,4)"
0.053,16.0,0.078,3524500.0,72.0,0.352,739666.687,422.0,2.063,79753.562,0.068,14.0,"(1,4)"
0.063,19.0,0.093,2959158.0,74.0,0.362,718162.125,427.0,2.087,78163.937,0.078,16.0,"(1,4)"
0.063,29.0,0.142,1919448.375,62.0,0.303,868000.0,436.0,2.131,75394.492,0.078,16.0,"(1,4)"
0.058,22.0,0.108,2548000.0,76.0,0.371,697789.5,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.058,55.0,0.269,985599.937,66.0,0.323,812000.0,410.0,2.004,83726.828,0.073,15.0,"(1,4)"
0.053,15.0,0.073,3763200.25,104.0,0.508,494846.156,419.0,2.048,80725.546,0.068,14.0,"(1,4)"
0.063,20.0,0.098,2808400.0,68.0,0.332,786470.562,421.0,2.058,80076.007,0.078,16.0,"(1,4)"
0.058,22.0,0.108,2548000.0,77.0,0.376,688000.0,422.0,2.063,79753.562,0.073,15.0,"(1,4)"
0.058,23.0,0.112,2434782.75,70.0,0.342,762400.0,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.058,17.0,0.083,3313882.25,80.0,0.391,660100.0,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.063,22.0,0.108,2548000.0,73.0,0.357,728767.187,422.0,2.063,79753.562,0.078,16.0,"(1,4)"
0.063,15.0,0.073,3763200.25,58.0,0.283,931724.187,512.0,2.502,55890.625,0.078,16.0,"(1,4)"
0.053,17.0,0.083,3313882.25,75.0,0.367,707839.937,412.0,2.014,83048.546,0.068,14.0,"(1,4)"
0.058,38.0,0.186,1451579.0,13.0,0.064,4350769.0,424.0,2.072,79113.21,0.073,15.0,"(1,4)"
0.063,22.0,0.108,2548000.0,70.0,0.342,762400.0,424.0,2.072,79113.21,0.078,16.0,"(1,4)"
0.058,25.0,0.122,2235520.0,72.0,0.352,739666.687,420.0,2.053,80400.0,0.073,15.0,"(1,4)"
0.058,19.0,0.093,2959158.0,74.0,0.362,718162.125,412.0,2.014,83048.546,0.073,15.0,"(1,4)"
0.058,42.0,0.205,1308000.0,72.0,0.352,739666.687,417.0,2.038,81381.304,0.073,15.0,"(1,4)"
0.058,21.0,0.103,2672000.0,68.0,0.332,786470.562,416.0,2.033,81711.539,0.073,15.0,"(1,4)"
0.053,10.0,0.049,5672800.0,129.0,0.63,388093.031,411.0,2.009,83386.859,0.068,14.0,"(1,4)"
0.063,0.0,0.0,0.0,68.0,0.332,786470.562,415.0,2.028,82043.375,0.078,16.0,"(1,4)"
0.063,26.0,0.127,2147384.5,70.0,0.342,762400.0,420.0,2.053,80400.0,0.078,16.0,"(1,4)"
0.058,28.0,0.137,1990000.0,79.0,0.386,669164.562,419.0,2.048,80725.546,0.073,15.0,"(1,4)"
0.049,10.0,0.049,5672800.0,78.0,0.381,678461.562,421.0,2.058,80076.007,0.064,13.0,"(1,4)"
0.063,0.0,0.0,0.0,86.0,0.42,610139.562,426.0,2.082,78478.875,0.078,16.0,"(1,4)"
0.063,53.0,0.259,1024905.687,71.0,0.347,750873.25,418.0,2.043,81052.632,0.078,16.0,"(1,4)"
0.058,22.0,0.108,2548000.0,72.0,0.352,739666.687,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.053,14.0,0.068,4036000.0,73.0,0.357,728767.187,420.0,2.053,80400.0,0.068,14.0,"(1,4)"
0.063,21.0,0.103,2672000.0,72.0,0.352,739666.687,424.0,2.072,79113.21,0.078,16.0,"(1,4)"
0.058,24.0,0.117,2331000.0,62.0,0.303,868000.0,352.0,1.72,106750.0,0.073,15.0,"(1,4)"
0.058,25.0,0.122,2235520.0,71.0,0.347,750873.25,405.0,1.979,85451.851,0.073,15.0,"(1,4)"
0.058,22.0,0.108,2548000.0,75.0,0.367,707839.937,411.0,2.009,83386.859,0.073,15.0,"(1,4)"
0.063,18.0,0.088,3126666.75,73.0,0.357,728767.187,417.0,2.038,81381.304,0.078,16.0,"(1,4)"
0.058,23.0,0.112,2434782.75,74.0,0.362,718162.125,438.0,2.141,74794.515,0.073,15.0,"(1,4)"
0.058,20.0,0.098,2808400.0,75.0,0.367,707839.937,420.0,2.053,80400.0,0.073,15.0,"(1,4)"
0.058,21.0,0.103,2672000.0,74.0,0.362,718162.125,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.063,18.0,0.088,3126666.75,72.0,0.352,739666.687,419.0,2.048,80725.546,0.078,16.0,"(1,4)"
0.063,23.0,0.112,2434782.75,72.0,0.352,739666.687,419.0,2.048,80725.546,0.078,16.0,"(1,4)"
0.063,14.0,0.068,4036000.0,62.0,0.303,868000.0,520.0,2.542,54169.23,0.078,16.0,"(1,4)"
0.058,17.0,0.083,3313882.25,74.0,0.362,718162.125,410.0,2.004,83726.828,0.073,15.0,"(1,4)"
0.058,36.0,0.176,1535333.375,72.0,0.352,739666.687,413.0,2.019,82711.867,0.073,15.0,"(1,4)"
0.063,29.0,0.142,1919448.375,73.0,0.357,728767.187,421.0,2.058,80076.007,0.078,16.0,"(1,4)"
0.058,18.0,0.088,3126666.75,74.0,0.362,718162.125,422.0,2.063,79753.562,0.073,15.0,"(1,4)"
0.058,23.0,0.112,2434782.75,102.0,0.499,505647.031,427.0,2.087,78163.937,0.073,15.0,"(1,4)"
0.058,56.0,0.274,967000.0,71.0,0.347,750873.25,413.0,2.019,82711.867,0.073,15.0,"(1,4)"
0.063,0.0,0.0,0.0,71.0,0.347,750873.25,433.0,2.116,76304.859,0.078,16.0,"(1,4)"
0.058,16.0,0.078,3524500.0,73.0,0.357,728767.187,428.0,2.092,77850.476,0.073,15.0,"(1,4)"
0.058,23.0,0.112,2434782.75,75.0,0.367,707839.937,423.0,2.067,79432.632,0.073,15.0,"(1,4)"
0.058,20.0,0.098,2808400.0,75.0,0.367,707839.937,423.0,2.067,79432.632,0.073,15.0,"(1,4)"
0.058,19.0,0.093,2959158.0,74.0,0.362,718162.125,419.0,2.048,80725.546,0.073,15.0,"(1,4)"
0.058,27.0,0.132,2065777.75,72.0,0.352,739666.687,420.0,2.053,80400.0,0.073,15.0,"(1,4)"
0.058,58.0,0.283,931724.187,85.0,0.415,617976.5,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.058,36.0,0.176,1535333.375,68.0,0.332,786470.562,437.0,2.136,75093.812,0.073,15.0,"(1,4)"
0.058,0.0,0.0,0.0,87.0,0.425,602482.75,427.0,2.087,78163.937,0.073,15.0,"(1,4)"
0.058,23.0,0.112,2434782.75,75.0,0.367,707839.937,420.0,2.053,80400.0,0.073,15.0,"(1,4)"
0.058,18.0,0.088,3126666.75,82.0,0.401,642634.125,424.0,2.072,79113.21,0.073,15.0,"(1,4)"
0.058,21.0,0.103,2672000.0,74.0,0.362,718162.125,424.0,2.072,79113.21,0.073,15.0,"(1,4)"
0.058,19.0,0.093,2959158.0,74.0,0.362,718162.125,420.0,2.053,80400.0,0.073,15.0,"(1,4)"
0.073,20.0,0.098,2808400.0,76.0,0.371,697789.5,422.0,2.063,79753.562,0.088,18.0,"(1,4)"
0.063,42.0,0.205,1308000.0,73.0,0.357,728767.187,418.0,2.043,81052.632,0.078,16.0,"(1,4)"
0.053,26.0,0.127,2147384.5,104.0,0.508,494846.156,420.0,2.053,80400.0,0.068,14.0,"(1,4)"
0.063,21.0,0.103,2672000.0,74.0,0.362,718162.125,419.0,2.048,80725.546,0.078,16.0,"(1,4)"
0.058,19.0,0.093,2959158.0,72.0,0.352,739666.687,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.063,21.0,0.103,2672000.0,75.0,0.367,707839.937,419.0,2.048,80725.546,0.078,16.0,"(1,4)"
0.063,25.0,0.122,2235520.0,74.0,0.362,718162.125,424.0,2.072,79113.21,0.078,16.0,"(1,4)"
0.063,23.0,0.112,2434782.75,74.0,0.362,718162.125,420.0,2.053,80400.0,0.078,16.0,"(1,4)"
0.093,16.0,0.078,3524500.0,76.0,0.371,697789.5,425.0,2.077,78795.304,0.108,22.0,"(1,4)"
0.053,63.0,0.308,853333.312,71.0,0.347,750873.25,411.0,2.009,83386.859,0.068,14.0,"(1,4)"
0.009,0.0,0.0,0.0,69.0,0.337,774260.875,441.0,2.155,73904.765,0.024,5.0,"(1,4)"
0.058,24.0,0.117,2331000.0,72.0,0.352,739666.687,422.0,2.063,79753.562,0.073,15.0,"(1,4)"
0.058,21.0,0.103,2672000.0,74.0,0.362,718162.125,424.0,2.072,79113.21,0.073,15.0,"(1,4)"
0.058,21.0,0.103,2672000.0,76.0,0.371,697789.5,423.0,2.067,79432.632,0.073,15.0,"(1,4)"
0.058,28.0,0.137,1990000.0,75.0,0.367,707839.937,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.053,24.0,0.117,2331000.0,89.0,0.435,587685.375,422.0,2.063,79753.562,0.068,14.0,"(1,4)"
0.058,6.0,0.029,9492000.0,77.0,0.376,688000.0,443.0,2.165,73318.273,0.073,15.0,"(1,4)"
0.073,59.0,0.288,914983.062,71.0,0.347,750873.25,415.0,2.028,82043.375,0.088,18.0,"(1,4)"
0.049,4.0,0.02,14266000.0,64.0,0.313,839125.0,421.0,2.058,80076.007,0.064,13.0,"(1,4)"
0.063,16.0,0.078,3524500.0,60.0,0.293,898800.062,426.0,2.082,78478.875,0.078,16.0,"(1,4)"
0.053,43.0,0.21,1276279.125,73.0,0.357,728767.187,411.0,2.009,83386.859,0.068,14.0,"(1,4)"
0.058,58.0,0.283,931724.187,82.0,0.401,642634.125,421.0,2.058,80076.007,0.073,15.0,"(1,4)"
0.063,5.0,0.024,11401600.0,76.0,0.371,697789.5,425.0,2.077,78795.304,0.078,16.0,"(1,4)"
0.063,22.0,0.108,2548000.0,74.0,0.362,718162.125,424.0,2.072,79113.21,0.078,16.0,"(1,4)"
0.063,22.0,0.108,2548000.0,74.0,0.362,718162.125,422.0,2.063,79753.562,0.078,16.0,"(1,4)"
0.058,22.0,0.108,2548000.0,82.0,0.401,642634.125,424.0,2.072,79113.21,0.073,15.0,"(1,4)"
0.058,28.0,0.137,1990000.0,74.0,0.362,718162.125,425.0,2.077,78795.304,0.073,15.0,"(1,4)"
0.053,12.0,0.059,4718000.0,81.0,0.396,651259.25,428.0,2.092,77850.476,0.068,14.0,"(1,4)"
0.058,0.0,0.0,0.0,37.0,0.181,1492324.25,438.0,2.141,74794.515,0.073,15.0,"(1,4)"
0.058,23.0,0.112,2434782.75,74.0,0.362,718162.125,422.0,2.063,79753.562,0.073,15.0,"(1,4)"
0.058,26.0,0.127,2147384.5,72.0,0.352,739666.687,422.0,2.063,79753.562,0.073,15.0,"(1,4)"
0.058,14.0,0.068,4036000.0,81.0,0.396,651259.25,424.0,2.072,79113.21,0.073,15.0,"(1,4)"
0.058,25.0,0.122,2235520.0,77.0,0.376,688000.0,425.0,2.077,78795.304,0.073,15.0,"(1,4)"
0.053,13.0,0.064,4350769.0,109.0,0.533,469577.968,422.0,2.063,79753.562,0.068,14.0,"(1,4)"
0.053,24.0,0.117,2331000.0,54.0,0.264,1004888.875,426.0,2.082,78478.875,0.068,14.0,"(1,4)"
0.063,22.0,0.108,2548000.0,77.0,0.376,688000.0,425.0,2.077,78795.304,0.078,16.0,"(1,4)"
0.058,22.0,0.108,2548000.0,80.0,0.391,660100.0,424.0,2.072,79113.21,0.073,15.0,"(1,4)"
0.063,27.0,0.132,2065777.75,75.0,0.367,707839.937,421.0,2.058,80076.007,0.078,16.0,"(1,4)"
0.058,22.0,0.108,2548000.0,80.0,0.391,660100.0,426.0,2.082,78478.875,0.073,15.0,"(1,4)"
0.039,16.0,0.078,3524500.0,94.0,0.459,553446.812,418.0,2.043,81052.632,0.054,11.0,"(1,4)"
0.053,5.0,0.024,11401600.0,183.0,0.894,257049.187,422.0,2.063,79753.562,0.068,14.0,"(1,4)"
0.058,33.0,0.161,1680000.0,77.0,0.376,688000.0,423.0,2.067,79432.632,0.073,15.0,"(1,4)"
0.063,21.0,0.103,2672000.0,62.0,0.303,868000.0,425.0,2.077,78795.304,0.078,16.0,"(1,4)"
0.058,24.0,0.117,2331000.0,73.0,0.357,728767.187,426.0,2.082,78478.875,0.073,15.0,"(1,4)"
0.058,20.0,0.098,2808400.0,104.0,0.508,494846.156,428.0,2.092,77850.476,0.073,15.0,"(1,4)"
0.058,25.0,0.122,2235520.0,72.0,0.352,739666.687,441.0,2.155,73904.765,0.073,15.0,"(1,4)"
0.049,12.0,0.059,4718000.0,63.0,0.308,853333.312,488.0,2.385,61393.433,0.064,13.0,"(1,4)"
0.063,96.0,0.469,540750.0,70.0,0.342,762400.0,409.0,1.999,84068.468,0.078,16.0,"(1,4)"
0.068,19.0,0.093,2959158.0,70.0,0.342,762400.0,427.0,2.087,78163.937,0.083,17.0,"(1,4)"
0.063,18.0,0.088,3126666.75,76.0,0.371,697789.5,419.0,2.048,80725.546,0.078,16.0,"(1,4)"
0.058,23.0,0.112,2434782.75,80.0,0.391,660100.0,424.0,2.072,79113.21,0.073,15.0,"(1,4)"
0.058,20.0,0.098,2808400.0,79.0,0.386,669164.562,428.0,2.092,77850.476,0.073,15.0,"(1,4)"
0.073,50.0,0.244,1089760.0,77.0,0.376,688000.0,423.0,2.067,79432.632,0.088,18.0,"(1,4)"
0.058,22.0,0.108,2548000.0,78.0,0.381,678461.562,422.0,2.063,79753.562,0.073,15.0,"(1,4)"
0.019,25.0,0.122,2235520.0,75.0,0.367,707839.937,416.0,2.033,81711.539,0.034,7.0,"(1,4)"
0.053,26.0,0.127,2147384.5,74.0,0.362,718162.125,424.0,2.072,79113.21,0.068,14.0,"(1,4)"
0.063,18.0,0.088,3126666.75,174.0,0.85,273241.375,462.0,2.258,67999.992,0.078,16.0,"(1,5)"
0.058,31.0,0.152,1792000.0,124.0,0.606,406000.0,435.0,2.126,75696.562,0.073,15.0,"(1,5)"
0.063,8.0,0.039,7105000.0,115.0,0.562,442156.5,427.0,2.087,78163.937,0.078,16.0,"(1,5)"
0.063,60.0,0.293,898800.062,134.0,0.655,371522.406,324.0,1.584,120814.804,0.078,16.0,"(1,5)"
0.044,1.0,0.005,0.0,114.0,0.557,446526.312,409.0,1.999,84068.468,0.059,12.0,"(1,5)"
0.058,30.0,0.147,1853600.125,82.0,0.401,642634.125,420.0,2.053,80400.0,0.073,15.0,"(1,5)"
0.053,37.0,0.181,1492324.25,121.0,0.591,417454.562,371.0,1.813,98415.093,0.068,14.0,"(1,5)"
0.063,50.0,0.244,1089760.0,89.0,0.435,587685.375,346.0,1.691,109572.257,0.078,16.0,"(1,5)"
0.058,37.0,0.181,1492324.25,103.0,0.503,500194.187,364.0,1.779,101384.617,0.073,15.0,"(1,5)"
0.063,35.0,0.171,1580800.0,118.0,0.577,429491.531,372.0,1.818,98000.0,0.078,16.0,"(1,5)"
0.063,33.0,0.161,1680000.0,59.0,0.288,914983.062,341.0,1.667,112000.0,0.078,16.0,"(1,5)"
0.063,44.0,0.215,1246000.0,107.0,0.523,479401.906,472.0,2.307,65372.882,0.078,16.0,"(1,5)"
0.063,39.0,0.191,1412923.125,131.0,0.64,381313.0,359.0,1.755,103576.601,0.078,16.0,"(1,5)"
0.063,38.0,0.186,1451579.0,108.0,0.528,474444.437,362.0,1.769,102254.14,0.078,16.0,"(1,5)"
0.083,115.0,0.562,442156.5,124.0,0.606,406000.0,377.0,1.843,95957.562,0.098,20.0,"(1,5)"
0.039,56.0,0.274,967000.0,130.0,0.635,384676.906,364.0,1.779,101384.617,0.054,11.0,"(1,5)"
0.058,46.0,0.225,1189391.375,159.0,0.777,304301.906,400.0,1.955,87219.992,0.073,15.0,"(1,5)"
